uf60,code_muni_1960,name_muni_1960,ordem,name_district_1960,pop_total,pop_urbana,pop_rural,domicilios,pagina,nota
81,8260,Gravataí,1,Gravataí,19475,5461,14014,,,municipio em que os codigos do livro nao sobem com as linhas
81,8260,Gravataí,2,Cachoeirinha,11534,10794,740,,,municipio em que os codigos do livro nao sobem com as linhas
81,8260,Gravataí,3,Dom Feliciano,2437,45,2392,,,municipio em que os codigos do livro nao sobem com as linhas
81,8260,Gravataí,4,Glorinha,4334,241,4093,,,municipio em que os codigos do livro nao sobem com as linhas
81,8260,Gravataí,5,Ipiranga,5090,0,5090,,,municipio em que os codigos do livro nao sobem com as linhas
81,8260,Gravataí,6,Morungava,3401,450,2951,,,municipio em que os codigos do livro nao sobem com as linhas
81,8264,Rio Pardo,0,Rio Pardo,47908,16905,31003,,,municipio em que os codigos do livro nao sobem com as linhas
81,8264,Rio Pardo,1,Rio Pardo,21036,14412,6624,,,municipio em que os codigos do livro nao sobem com as linhas
81,8264,Rio Pardo,2,Albardão,2745,0,2745,,,municipio em que os codigos do livro nao sobem com as linhas
81,8264,Rio Pardo,3,Bexiga,1722,544,1178,,,municipio em que os codigos do livro nao sobem com as linhas
81,8264,Rio Pardo,4,Capivarita,9971,829,9142,,,municipio em que os codigos do livro nao sobem com as linhas
81,8264,Rio Pardo,5,Passo do Sobrado,4770,615,4155,,,municipio em que os codigos do livro nao sobem com as linhas
81,8264,Rio Pardo,6,Rincão del Rei,7664,505,7159,,,municipio em que os codigos do livro nao sobem com as linhas
81,8302,Campo Novo,0,Campo Novo,21052,2145,18907,,,municipio em que os codigos do livro nao sobem com as linhas
81,8302,Campo Novo,1,Campo Novo,6466,864,5602,,,municipio em que os codigos do livro nao sobem com as linhas
81,8302,Campo Novo,2,Braga,4131,379,3752,,,municipio em que os codigos do livro nao sobem com as linhas
81,8302,Campo Novo,3,Irapuá,6776,217,6559,,,municipio em que os codigos do livro nao sobem com as linhas
81,8302,Campo Novo,4,Pedro Garcia,1309,195,1114,,,municipio em que os codigos do livro nao sobem com as linhas
81,8302,Campo Novo,5,Redentora,2370,490,1880,,,municipio em que os codigos do livro nao sobem com as linhas
81,8311,Giruá,0,Giruá,24237,3565,20672,,,municipio em que os codigos do livro nao sobem com as linhas
81,8311,Giruá,1,Giruá,15781,3153,12628,,,municipio em que os codigos do livro nao sobem com as linhas
81,8311,Giruá,2,Salgado Filho,3199,125,3074,,,municipio em que os codigos do livro nao sobem com as linhas
81,8311,Giruá,3,Ubiretama,5257,287,4970,,,municipio em que os codigos do livro nao sobem com as linhas
