quesito,variavel,codigo,rotulo,grupo,subgrupo,pagina,nota
O,V214,33,Serviços sanitários,"Médio, não equiparado",,6-7,
O,V214,34,Militar,"Médio, não equiparado",,6-7,
O,V214,36,Educação física,"Médio, não equiparado",,6-7,
O,V214,38,Eclesiástico,"Médio, não equiparado",,6-7,
O,V214,39,Outros,"Médio, não equiparado",,6-7,
O,V214,50,Bacharelado e didática em geografia e história,Superior,,6-7,
O,V214,51,Bacharelado e didática em história natural,Superior,,6-7,
O,V214,52,"Bacharelado e didática em letras (clássicas, neolatinas e anglo-germânicas)",Superior,,6-7,
O,V214,53,"Bacharelado e didática em matemática, física, química e desenho",Superior,,6-7,
O,V214,54,"Bacharelado e didática em outros cursos (astronomia, ciências sociais, filosofia, teologia etc.)",Superior,,6-7,
O,V214,57,Belas artes,Superior,,6-7,
O,V214,60,Medicina,Superior,,6-7,
O,V214,61,Farmácia,Superior,,6-7,
O,V214,62,Odontologia,Superior,,6-7,
O,V214,63,Veterinária,Superior,,6-7,
O,V214,64,Engenharia,Superior,,6-7,
O,V214,65,Arquitetura,Superior,,6-7,
O,V214,66,Química industrial,Superior,,6-7,
O,V214,67,Direito,Superior,,6-7,
O,V214,68,Agronomia,Superior,,6-7,
O,V214,70,"Ciências econômicas, contábeis e atuariais",Superior,,6-7,
O,V214,71,Ciências estatísticas,Superior,,6-7,
O,V214,72,Artes domésticas,Superior,,6-7,
O,V214,73,Serviços sanitários,Superior,,6-7,
O,V214,74,Militar,Superior,,6-7,
O,V214,76,Educação física,Superior,,6-7,
O,V214,78,Eclesiástico,Superior,,6-7,
O,V214,79,Outros,Superior,,6-7,
P,V215,6,Casamento civil e religioso,,,8,
P,V215,7,Somente casamento civil,,,8,
P,V215,8,Somente casamento religioso,,,8,
P,V215,9,Vivendo maritalmente (outra),,,8,
P,V215,0,Solteiro,,,8,
P,V215,1,Separado,,,8,
P,V215,2,Desquitado,,,8,
P,V215,3,Divorciado,,,8,
P,V215,4,Viúvo,,,8,
P,V215,5,Ignorado,,,8,
Q,V216,00,Não tem cônjuge ou não vive em companhia do cônjuge,,,8,
Q,V216,01-60,"Ano do casamento, dois últimos algarismos (1901 a 1960)",,,8,
Q,V216,61,Casados no ano de 1900,,,8,
Q,V216,62,Casados em ano anterior a 1864,,,8,
Q,V216,63,Ignorado,,,8,
Q,V216,64-99,"Ano do casamento, dois últimos algarismos (1864 a 1899)",,,8,
R,V217,00,Não teve filhos,,,8,
R,V217,01-98,"Número de filhos tidos, com zero à esquerda",,,8,
S,V218,00,Nenhum filho vivo,,,8,
S,V218,01-98,"Número de filhos vivos, com zero à esquerda",,,8,
T,V219,5,Até Cr$ 2 100,,,8,
T,V219,6,De Cr$ 2 101 a 3 300,,,8,
T,V219,7,De Cr$ 3 301 a 4 500,,,8,
T,V219,8,De Cr$ 4 501 a 6 000,,,8,
T,V219,9,De Cr$ 6 001 a 10 000,,,8,
T,V219,0,De Cr$ 10 001 a 20 000,,,8,
T,V219,1,De Cr$ 20 001 a 50 000,,,8,
T,V219,2,De Cr$ 50 001 e mais,,,8,
T,V219,3,Não tem,,,8,
T,V219,4,Ignorado,,,8,
U,V220,4,Afazeres domésticos,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,5,Estudante,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,6,Aposentado,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,7,Vive de rendas,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,8,Doença temporária,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,9,Invalidez permanente,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,0,Detento,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,1,Sem ocupação,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,2,Ignorado,,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
U,V220,3,Prejudicado (economicamente ativo),,,8,"com código diferente de 2 ou 3, o quesito V recebe X e os quesitos W, X e Z não são codificados; logo 2 e 3 são os ativos"
V,V221,111,Agricultores (fazendeiros),"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Proprietários,9,
V,V221,112,Pecuaristas,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Proprietários,9,
V,V221,113,Avicultores e criadores de pequenos animais,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Proprietários,9,
V,V221,114,Industriais,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Proprietários,9,
V,V221,115,Comerciantes,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Proprietários,9,
V,V221,116,Hoteleiros e donos de pensão,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Proprietários,9,
V,V221,117,Outros proprietários,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Proprietários,9,
V,V221,121,"Administradores, diretores e assistentes no serviço público (inclusive cargos eletivos)","1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios","Administradores, diretores e assistentes",9,
V,V221,122,Diretores e gerentes de bancos e companhias de seguros,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios","Administradores, diretores e assistentes",9,
V,V221,123,Administradores e gerentes na agropecuária,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios","Administradores, diretores e assistentes",9,
V,V221,124,"Outros administradores, diretores e gerentes","1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios","Administradores, diretores e assistentes",9,
V,V221,181,Coletores e exatores,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,182,Caixas e tesoureiros,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
V,V221,183,Cobradores,"1. Ocupações de direção, administração e as relativas ao funcionamento de escritórios",Ocupações relativas ao funcionamento de escritórios,9,
