variavel,codigo,rotulo,fonte
V220,1,"Atividade não econômica: sem ocupação",Boletim de Amostra CD 2 (quesito U; código 81)
V223,2,"Na última semana exercia a ocupação declarada",Boletim de Amostra CD 2 (quesito W; código 82)
V223,3,"Na última semana exercia outra ocupação",Boletim de Amostra CD 2 (quesito W; código 83)
V223,4,"Na última semana estava desempregado",Boletim de Amostra CD 2 (quesito W; código 84)
V224,5,"Posição na ocupação: empregado público",Boletim de Amostra CD 2 (quesito Z; código 85)
V224,6,"Posição na ocupação: empregado particular",Boletim de Amostra CD 2 (quesito Z; código 86)
V224,7,"Posição na ocupação: trabalha por conta própria",Boletim de Amostra CD 2 (quesito Z; código 87)
V224,8,"Posição na ocupação: parceiro ou meeiro",Boletim de Amostra CD 2 (quesito Z; código 88)
V224,9,"Posição na ocupação: empregador",Boletim de Amostra CD 2 (quesito Z; código 89)
V224,0,"Posição na ocupação: membro da família ou instituição",Boletim de Amostra CD 2 (quesito Z; código 90)
