uf60,code_muni_1960,name_muni_1960,code_district_1960,domicilios
40,4472,Santos Dumont,11,124
40,4745,Pompéu,3,124
71,7327,Jacarezinho,3,124
14,1517,Caucaia,9,123
40,4508,Turmalina,3,123
71,7268,Toledo,17,123
52,5222,Itaperuna,5,123
81,8306,Erechim,9,123
60,6280,Rio Claro,7,123
71,7256,Querência do Norte,5,122
81,8258,General Câmara,3,122
40,4117,Nova Resende,3,121
40,4210,Bocaiúva,13,121
40,4444,Muriaé,7,121
91,9165,Várzea Grande,3,121
21,2233,Pedra,7,121
81,8550,Arroio Grande,3,121
91,9187,Jaraguari,3,120
17,1825,Santana do Matos,5,120
81,8104,Santo Ângelo,7,120
31,3270,São Francisco do Conde,5,119
40,4411,Chiador,3,119
40,4461,Raul Soares,5,119
40,4815,Sacramento,5,119
91,9206,Paranaíba,3,119
14,1533,Uruburetama,3,118
14,1560,Alto Santo,3,118
19,1957,Picuí,3,118
14,1472,Palmácia,3,117
40,4210,Bocaiúva,11,117
40,4729,Mateus Leme,5,117
91,9209,Três Lagoas,3,117
71,7151,Araucária,3,117
81,8328,Três de Maio,9,117
60,6404,Matão,5,117
81,8350,Carazinho,11,116
60,6637,Getulina,5,116
31,3356,Pilão Arcado,3,115
40,4467,Rio Preto,3,115
31,3312,Palmeiras,3,114
14,1548,Quixeramobim,7,114
71,7222,Barracão,7,114
14,1453,Orós,5,113
14,1652,Missão Velha,9,113
40,4302,Aimorés,5,113
40,4332,São Domingos do Prata,11,113
40,4448,Palma,3,113
71,7225,Cascavel,3,113
81,8302,Campo Novo,9,113
31,3398,Piritiba,5,112
14,1489,Tianguá,5,112
19,2029,Itabaiana,5,112
71,7347,São Jerônimo da Serra,3,112
71,7350,Uraí,3,112
91,9191,Rio Brilhante,3,111
60,6152,Piracaia,3,111
31,3327,Livramento do Brumado,9,110
40,4146,Silvianópolis,5,110
40,4540,Jequitibá,3,110
21,2261,Salgueiro,7,110
71,7338,Primeiro de Maio,3,110
14,1466,Itapiúna,7,109
14,1562,Jaguaruana,3,109
71,7193,Ortigueira,5,109
52,5271,Valença,9,109
17,1767,Pau dos Ferros,5,109
14,1416,Coreaú,3,108
14,1442,Assaré,5,108
14,1468,Maranguape,13,108
40,4332,São Domingos do Prata,3,108
40,4503,Diamantina,5,108
40,4543,Matozinhos,5,108
40,4704,Bom Despacho,3,108
40,4729,Mateus Leme,11,108
91,9142,Barra do Garças,3,108
71,7252,Paranavaí,11,108
81,8104,Santo Ângelo,9,108
81,8136,Vacaria,11,108
31,3340,Chorrochó,3,107
40,4212,Coração de Jesus,15,107
19,1959,São João do Cariri,9,107
14,1569,Tabuleiro do Norte,3,106
40,4410,Cataguases,3,106
40,4484,Tombos,3,106
19,1962,Soledade,5,106
71,7173,Ibaiti,5,106
31,3215,Jequié,5,105
40,4487,Vieiras,3,105
40,4521,Baldim,5,105
40,4532,Conselheiro Lafaiete,13,105
91,9116,Poxoréo,5,105
91,9189,Nova Andradina,3,105
81,8328,Três de Maio,11,105
60,6310,Porangaba,3,105
31,3137,Ilhéus,9,104
40,4806,Ibiá,5,104
71,7237,Guaíra,3,104
14,1473,Redenção,11,103
40,4552,Ribeirão das Neves,3,103
71,7103,Morretes,3,103
71,7153,Campo Largo,5,103
71,7234,Foz do Iguaçu,7,103
31,3310,Morro do Chapéu,11,102
71,7100,Antonina,3,102
81,8205,Farroupilha,7,102
30,3053,Gararu,5,102
31,3283,Iaçu,3,101
14,1455,Várzea Alegre,11,101
40,4503,Diamantina,3,101
40,4507,Serro,11,101
19,1959,São João do Cariri,7,101
81,8401,Arvorezinha,3,101
60,6601,Arealva,3,101
14,1545,Pedra Branca,7,100
40,4542,Mariana,11,100
14,1528,Santana do Acaraú,5,99
94,9521,Leopoldo de Bulhões,3,99
81,8208,Guaporé,7,99
25,2357,Pão de Açúcar,3,98
31,3326,Jacaraci,3,98
19,1961,Serra Branca,3,98
21,2177,Riacho das Almas,3,98
81,8270,Triunfo,3,98
40,4431,Juiz de Fora,15,97
71,7173,Ibaiti,3,97
71,7311,Borrazópolis,3,97
81,8204,Caxias do Sul,7,97
81,8204,Caxias do Sul,13,97
14,1644,Caririaçu,3,96
40,4520,Alvinópolis,5,96
71,7140,Arapoti,3,96
60,6021,Lavrinhas,3,96
14,1620,Tauá,3,95
40,4920,Uberlândia,9,95
14,1512,Aracati,9,94
14,1616,Independência,3,94
40,4140,São Sebastião do Paraíso,3,94
40,4262,Itinga,3,94
40,4432,Lajinha,7,94
40,4521,Baldim,3,94
40,4535,Esmeraldas,3,94
14,1516,Cascavel,11,93
40,4528,Caeté,3,93
40,4541,Lagoa Santa,3,93
94,9562,Crixás,3,92
40,4043,Borda da Mata,3,92
71,7249,Nova Londrina,3,92
52,5222,Itaperuna,13,92
52,5261,Barra Mansa,11,92
31,3354,Juazeiro,3,91
40,4126,Poço Fundo,3,91
19,1951,Carnoió,9,91
81,8208,Guaporé,9,91
60,6201,Barueri,3,91
40,4475,São João Nepomuceno,3,90
52,5230,Cantagalo,7,90
40,4432,Lajinha,5,89
40,4462,Recreio,3,89
91,9162,Nossa Senhora do Livramento,3,89
91,9182,Caarapó,3,89
71,7190,Cândido de Abreu,5,89
81,8204,Caxias do Sul,9,89
81,8309,Gaurama,5,89
14,1443,Aurora,5,88
81,8502,Santa Vitória do Palmar,3,88
40,4060,Carmo da Cachoeira,3,87
40,4541,Lagoa Santa,5,87
52,5235,Santa Maria Madalena,3,87
14,1512,Aracati,13,86
94,9565,Itapaci,3,86
40,4410,Cataguases,11,86
40,4736,Pará de Minas,3,86
52,5269,Rio das Flores,5,86
60,6145,Itapira,5,86
60,6690,Santa Cruz do Rio Pardo,5,86
60,6690,Santa Cruz do Rio Pardo,7,86
40,4058,Capetinga,3,85
91,9203,Cassilândia,3,85
52,5230,Cantagalo,5,85
81,8264,Rio Pardo,5,85
14,1548,Quixeramobim,13,84
40,4549,Paraopeba,3,84
71,7104,Paranaguá,3,84
40,4612,Lagoa Dourada,3,83
91,9193,Sidrolândia,3,83
21,2193,Petrolândia,3,83
60,6001,Ilhabela,3,83
14,1487,Poranga,3,81
40,4313,Ferros,11,81
40,4618,São João del Rei,5,81
71,7122,Palmas,5,81
71,7238,Guaraniaçu,9,81
30,3060,Capela,5,81
60,6521,Monte Aprazível,11,81
40,4129,Pouso Alto,3,80
40,4550,Pedro Leopoldo,3,80
52,5235,Santa Maria Madalena,11,80
91,9116,Poxoréo,7,79
21,2179,Santa Cruz do Capibaribe,3,79
21,2192,Floresta,3,79
81,8208,Guaporé,5,79
40,4117,Nova Resende,5,78
40,4431,Juiz de Fora,19,78
40,4503,Diamantina,17,78
31,3364,Palmas de Monte Alto,5,77
71,7202,Mallet,5,77
30,3053,Gararu,3,77
60,6473,Cajobi,5,77
40,4085,Guaranésia,3,76
40,4105,Machado,3,76
91,9115,Ponte Branca,3,76
91,9142,Barra do Garças,5,76
71,7176,Joaquim Távora,5,76
71,7268,Toledo,11,76
81,8108,Guarani das Missões,3,76
81,8136,Vacaria,13,76
60,6522,Neves Paulista,5,76
40,4618,São João del Rei,3,75
21,2233,Pedra,5,75
31,3341,Curaçá,3,74
14,1453,Orós,3,74
14,1489,Tianguá,3,74
14,1631,Campos Sales,3,74
40,4107,Maria da Fé,3,74
91,9205,Inocência,3,73
71,7240,Laranjeiras do Sul,11,73
14,1545,Pedra Branca,5,72
40,4909,Conquista,3,72
14,1619,Saboeiro,3,71
40,4110,Monte Belo,5,71
40,4475,São João Nepomuceno,11,71
17,1741,Caicó,3,71
40,4816,Santa Juliana,5,69
91,9150,Aquidauana,11,69
81,8206,Flores da Cunha,5,69
40,4081,Estiva,3,68
71,7122,Palmas,3,68
71,7307,Astorga,3,68
31,3341,Curaçá,7,67
40,4919,Uberaba,3,67
91,9150,Aquidauana,5,67
71,7155,Curitiba,7,67
71,7345,Santo Antônio da Platina,3,67
31,3310,Morro do Chapéu,19,66
40,4526,Brumadinho,3,66
91,9163,Poconé,3,66
40,4120,Paraisópolis,5,65
40,4121,Passa Quatro,3,65
19,1961,Serra Branca,5,65
71,7145,Ponta Grossa,7,65
52,5235,Santa Maria Madalena,9,65
52,5261,Barra Mansa,13,65
60,6003,Ubatuba,3,65
91,9151,Bela Vista,3,64
91,9186,Itaporã,3,64
52,5260,Barra do Piraí,5,64
40,4720,Guia Lopes,3,63
91,9188,Maracaju,3,63
71,7153,Campo Largo,7,63
60,6446,Lençóis Paulista,5,63
19,1963,Sumé,3,62
40,4145,Serranos,3,61
40,4707,Campos Altos,3,61
81,8204,Caxias do Sul,19,61
21,2261,Salgueiro,5,60
71,7234,Foz do Iguaçu,3,59
81,8302,Campo Novo,7,59
31,3137,Ilhéus,11,58
14,1490,Ubajara,5,57
94,9646,Juçara,5,56
91,9150,Aquidauana,7,56
19,1954,Juazeirinho,3,56
71,7222,Barracão,5,56
71,7268,Toledo,3,56
91,9115,Ponte Branca,5,55
71,7207,São Mateus do Sul,3,55
19,1962,Soledade,3,54
81,8135,São José do Ouro,5,53
31,3304,Gentio do Ouro,13,52
40,4308,Conselheiro Pena,11,52
40,4435,Lima Duarte,13,52
71,7268,Toledo,15,52
94,9420,Almas,3,50
40,4507,Serro,13,50
91,9183,Campo Grande,3,50
19,1961,Serra Branca,7,49
71,7102,Guaratuba,3,49
14,1432,Senador Sá,5,48
14,1466,Itapiúna,5,48
40,4503,Diamantina,19,48
40,4532,Conselheiro Lafaiete,3,47
71,7330,Jataizinho,3,46
40,4543,Matozinhos,3,45
91,9202,Camapuã,3,45
14,1434,Tamboril,3,44
14,1489,Tianguá,9,44
40,4431,Juiz de Fora,11,44
60,6511,Gastão Vidigal,3,44
60,6001,Ilhabela,5,42
60,6472,Bebedouro,5,42
40,4421,Estrela Dalva,3,41
40,4804,Coromandel,3,41
91,9144,Cuiabá,5,41
91,9164,Santo Antônio do Leverger,3,41
14,1563,Limoeiro do Norte,3,39
21,2179,Santa Cruz do Capibaribe,5,39
71,7122,Palmas,7,37
40,4544,Moeda,3,36
31,3300,Andaraí,3,35
40,4433,Laranjal,3,35
21,2233,Pedra,3,35
60,6209,Elias Fausto,3,35
40,4315,Governador Valadares,13,33
52,5320,Angra dos Reis,9,33
81,8113,Erval,3,32
40,4538,Itabirito,3,31
52,5235,Santa Maria Madalena,5,31
19,1964,Taperoá,3,28
71,7101,Guaraqueçaba,3,26
91,9200,Água Clara,3,25
91,9207,Ribas do Rio Pardo,3,20
