uf60,code_muni_1960,name_muni_1960,code_district_1960,domicilios
71,7249,Nova Londrina,7,248
71,7253,Pato Branco,5,248
40,4604,Bonfim,3,247
19,1977,Piancó,5,247
21,2231,Buíque,3,247
81,8208,Guaporé,13,247
81,8419,Santo Antônio,5,247
40,4308,Conselheiro Pena,13,246
40,4400,Abre Campo,3,246
91,9162,Nossa Senhora do Livramento,5,246
60,6660,Iacri,3,246
40,4222,Curvelo,5,245
71,7203,Paulo Frontin,3,244
81,8301,Campinas do Sul,3,244
81,8311,Giruá,5,244
14,1533,Uruburetama,7,243
40,4202,São Francisco,5,243
14,1448,Icó,3,242
81,8208,Guaporé,3,242
40,4534,Cordisburgo,3,241
21,2231,Buíque,7,241
17,1780,Açu,3,241
60,6446,Lençóis Paulista,3,241
31,3137,Ilhéus,5,240
31,3280,Castro Alves,11,240
40,4317,Iapu,3,240
81,8265,Santa Maria,11,240
31,3151,Una,5,239
31,3330,Paramirim,5,239
14,1468,Maranguape,7,239
40,4400,Abre Campo,7,239
19,1910,Santa Luzia,3,239
19,1981,Sousa,5,239
21,2150,Agrestina,3,239
21,2172,Orobó,5,239
71,7208,Teixeira Soares,3,239
60,6030,São José dos Campos,5,239
40,4235,Machacalis,5,238
81,8320,Santo Augusto,3,238
14,1545,Pedra Branca,3,237
71,7183,Wenceslau Braz,3,237
71,7220,Alto Paraná,7,237
40,4235,Machacalis,3,236
40,4723,Itapecerica,11,236
60,6730,Santa Fé do Sul,9,236
31,3313,Piatã,13,235
31,3396,Miguel Calmon,5,235
40,4211,Brasília,3,234
40,4444,Muriaé,5,234
31,3307,Irecê,3,233
31,3324,Guanambi,5,233
21,2162,Correntes,7,233
71,7201,Irati,3,233
14,1548,Quixeramobim,3,232
40,4013,Unaí,3,232
40,4234,Ladainha,3,232
21,2262,São José do Belmonte,3,232
71,7183,Wenceslau Braz,5,232
40,4023,Monte Azul,3,231
19,1981,Sousa,3,231
17,1725,Goianinha,3,231
81,8264,Rio Pardo,9,231
71,7268,Toledo,5,229
40,4420,Espera Feliz,3,228
71,7145,Ponta Grossa,5,228
81,8308,Frederico Westphalen,13,228
81,8358,Panambi,3,228
81,8408,Estrela,11,228
14,1620,Tauá,11,227
81,8406,Encantado,11,227
19,1928,Santa Rita,3,226
71,7192,Ipiranga,3,226
40,4453,Piranga,3,224
71,7178,Pinhalão,3,224
81,8104,Santo Ângelo,19,224
81,8355,Júlio de Castilhos,5,224
14,1582,Jaguaribe,3,223
40,4437,Manhumirim,5,223
14,1470,Pacatuba,7,222
40,4218,São João da Ponte,15,222
40,4918,Tupaciguara,3,222
71,7111,Cerro Azul,5,222
81,8405,Dois Irmãos,5,222
14,1641,Barbalha,3,221
21,2139,São Vicente Ferrer,3,221
21,2151,Alagoinha,3,221
71,7220,Alto Paraná,5,221
52,5235,Santa Maria Madalena,7,221
31,3137,Ilhéus,19,219
14,1468,Maranguape,11,219
71,7121,Guarapuava,15,219
71,7240,Laranjeiras do Sul,5,219
71,7249,Nova Londrina,5,219
71,7321,Florestópolis,3,219
60,6341,Itaporanga,5,219
40,4222,Curvelo,13,218
31,3366,Santana,7,217
14,1517,Caucaia,3,217
40,4025,Rio Pardo de Minas,7,217
40,4465,Rio Novo,3,217
52,5222,Itaperuna,11,217
31,3153,Valença,5,216
14,1610,Aiuaba,3,216
31,3340,Chorrochó,5,215
40,4456,Pocrane,3,215
71,7111,Cerro Azul,3,215
71,7150,Almirante Tamandaré,3,215
71,7244,Mangueirinha,3,215
81,8362,Tapejara,3,215
60,6226,Ribeirão Pires,3,215
14,1564,Morada Nova,9,214
40,4241,Poté,3,214
40,4254,Rubim,3,214
40,4461,Raul Soares,3,214
40,4542,Mariana,13,214
14,1455,Várzea Alegre,9,213
14,1567,Russas,5,213
40,4400,Abre Campo,5,212
91,9142,Barra do Garças,7,212
19,1910,Santa Luzia,5,212
81,8262,Porto Alegre,5,212
31,3285,Irará,5,211
14,1533,Uruburetama,5,211
40,4327,Peçanha,3,211
91,9160,Barão de Melgaço,3,211
71,7182,Tomazina,3,211
40,4736,Pará de Minas,5,210
71,7340,Rolândia,5,210
52,5220,Bom Jesus do Itabapoana,9,210
60,6309,Piracicaba,7,210
31,3331,Tremedal,5,209
31,3359,Xique-Xique,7,209
71,7176,Joaquim Távora,3,209
14,1465,Guaramiranga,3,208
14,1523,Marco,3,208
40,4815,Sacramento,3,208
19,2010,Antenor Navarro,9,208
52,5320,Angra dos Reis,11,208
40,4026,Salinas,9,207
60,6653,Pompéia,5,207
40,4431,Juiz de Fora,5,206
40,4606,Carandaí,3,206
21,2190,Belém de São Francisco,3,206
81,8136,Vacaria,5,206
31,3310,Morro do Chapéu,5,205
40,4444,Muriaé,13,205
21,2182,São Joaquim do Monte,5,205
71,7159,Tijucas do Sul,3,204
60,6202,Boituva,3,204
31,3366,Santana,5,203
71,7319,Cornélio Procópio,3,203
81,8105,São Borja,3,203
14,1421,Itapagé,3,202
40,4218,São João da Ponte,11,202
52,5220,Bom Jesus do Itabapoana,7,202
52,5271,Valença,11,202
40,4222,Curvelo,3,201
40,4486,Viçosa,3,201
52,5230,Cantagalo,3,201
81,8309,Gaurama,3,201
14,1542,Itatira,3,200
40,4431,Juiz de Fora,17,200
40,4505,Itamarandiba,3,200
21,2164,Garanhuns,9,200
71,7240,Laranjeiras do Sul,13,200
31,3308,Ituaçu,5,198
81,8359,Passo Fundo,5,198
91,9181,Bataguaçu,3,197
19,1978,Pombal,3,197
71,7305,Araruva,3,197
40,4703,Bambuí,3,196
21,2210,Afogados da Ingazeira,3,196
71,7348,Sertaneja,3,196
52,5220,Bom Jesus do Itabapoana,3,196
81,8422,Sobradinho,5,196
94,9638,Goiás,5,195
71,7238,Guaraniaçu,3,195
31,3173,Cícero Dantas,5,194
94,9571,Porangatu,3,194
40,4548,Ouro Preto,13,194
40,4558,Santa Maria de Itabira,3,194
19,2017,Uiraúna,3,194
21,2120,Gameleira,5,194
81,8411,Lajeado,13,194
60,6237,Sumaré,3,194
40,4555,Sabará,3,193
71,7157,Rio Negro,3,193
71,7208,Teixeira Soares,7,193
40,4263,Jequitinhonha,3,192
40,4520,Alvinópolis,3,192
71,7121,Guarapuava,5,192
81,8425,Venâncio Aires,3,192
40,4500,Araçuaí,3,191
71,7209,União da Vitória,5,191
14,1533,Uruburetama,9,190
40,4445,Mutum,9,190
19,1959,São João do Cariri,11,190
52,5271,Valença,3,190
81,8265,Santa Maria,13,190
14,1420,Irauçuba,3,189
40,4401,Além Paraíba,3,189
81,8104,Santo Ângelo,13,189
81,8269,Taquari,5,189
14,1642,Barro,3,188
40,4503,Diamantina,7,188
40,4706,Campo Belo,3,188
71,7307,Astorga,7,188
