uf60,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,name_bairro_1960,tipo,zona_cod,zona,pagina,fonte
19,2011,Bonito de Santa Fé,01,Bonito de Santa Fé,,distrito,201,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2012,Cajazeiras,01,Cajazeiras,,distrito,201,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2013,Conceição,01,Conceição,,distrito,201,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2014,Ibiara,01,Ibiara,,distrito,201,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2015,Itaporanga,01,Itaporanga,,distrito,201,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2016,São José de Piranhas,01,São José de Piranhas,,distrito,201,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2017,Uiraúna,01,Uiraúna,,distrito,201,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2020,Alagoa Grande,01,Alagoa Grande,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2021,Alagoinha,01,Alagoinha,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2022,Araçagi,01,Araçagi,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2023,Aroeiras,01,Aroeiras,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2024,Belém,01,Belém,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2025,Caiçara,01,Caiçara,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2026,Guarabira,01,Guarabira,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2027,Gurinhém,01,Gurinhém,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2028,Ingá,01,Ingá,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2029,Itabaiana,01,Itabaiana,,distrito,202,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2030,Juarez Távora,01,Juarez Távora,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2031,Mari,01,Mari,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2032,Mulungu,01,Mulungu,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2033,Pilar,01,Pilar,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2034,Pirpirituba,01,Pirpirituba,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2035,Sapé,01,Sapé,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2036,Serra da Raiz,01,Serra da Raiz,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2037,Serra Redonda,01,Serra Redonda,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2038,Umbuzeiro,01,Umbuzeiro,,distrito,203,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2040,Araruna,01,Araruna,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2041,Barra de Santa Rosa,01,Barra de Santa Rosa,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2042,Cacimba de Dentro,01,Cacimba de Dentro,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
19,2043,Campina Grande,01,Campina Grande,,distrito,204,,,regra do Código: o distrito 01 é a sede e tem o nome do município (linha não lida pelo OCR)
