"linha","linha_familia","texto_original","texto_corrigido","texto_familia_original","texto_familia_corrigido","fonte_25","linha_pessoa_25","linha_familia_25","justificativa"
"393899","393896","4040210540418155332317557169200031100000000039-       \0062903","4040210540418155332317557169200031100000000039-       \0062903","4040210540418155111478369680206003                    \0062903","4040210540418155111478369680206003                    \0062903","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","273525","273516","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"400889","400883","40405101406542093129108541692000052-                  \0064009","40405101406542093129108541692000052-                  \0064009","4040510140654209151478289680204002                    \0064009","4040510140654209151478289680204002                    \0064009","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","429934","429929","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"416243","416561","404134014114210635391175416920003110000000005332321206\0066491","404134014114210635391175416920003110000000005332321206\0066491","4041340341142106151598389680204002                    \0066541","4041340341142106151598389680204002                    \0066541","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","734679","734675","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"416244","416722","404134014114213635191245716920003110000000005332321206\0066491","404134014114213635191245716920003110000000005332321206\0066491","4041340341142136151498389680200000                    \0066571","4041340341142136151498389680200000                    \0066571","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","734840","734837","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"416245","416722","404134014114213635191165716920003110000000005332321206\0066491","404134014114213635191165716920003110000000005332321206\0066491","4041340341142136151498389680200000                    \0066571","4041340341142136151498389680200000                    \0066571","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","734843","734837","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"416248","416787","404134014114214435191185416920001520000000003332321200\0066491","404134014114214435191185416920001520000000003332321200\0066491","4041340341142144151498284680206004                    \0066579","4041340341142144151498284680206004                    \0066579","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","734909","734906","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"425558","425811","4042130141384224351911254169200020000000000035-       \0067950","4042130141384224351911254169200020000000000035-       \0067950","4042130341384224151578389680204002                    \0067988","4042130341384224151578389680204002                    \0067988","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","898627;898631","898622","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922. Mais de uma pessoa25 compativel, todas no mesmo cartao; lista integral de origens preservada, sem afirmar identidade civil individual."
"425559","425856","4042130141384230351911154169200020000000000035-       \0067950","4042130141384230351911154169200020000000000035-       \0067950","4042130341384230151480389680204002                    \0067994","4042130341384230151480389680204002                    \0067994","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","898676","898668","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"426963","427231","40422003414821953519109571692000311-                  \0068145","40422003414821953519109571692000311-                  \0068145","4042200541482195151478389680204001                    \0068187","4042200541482195151478389680204001                    \0068187","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969994","969988","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
"427045","427043","40422005414821643329102541692000-                     \0068157","40422005414821643329102541692000-                     \0068157","4042200541482164111478389680207003                    \0068157","4042200541482164111478389680207003                    \0068157","data/release_legacy/Censo.1960.amostra.25porcento.mg.gz","969801","969793","Identidade do grupo conferida por chave, especie, municipio, situacao e distrito do cartao, composicao de24campos e multiplicidades, com duas testemunhas pessoais exatas unicas naUF127. V21600/63 e atributos habitacionais divergentes permanecem como na127; nao copiar respostas25. Criterio revisto e evidencia preservada em fechamento_registros_1960_20260922."
