uf60,nome_uf,zona_cod,zona,code_muni_1960,name_muni_1960,code_district_1960,name_district_1960,duvida,pagina
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,15,Tijoca,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,17,Tracuateua,False,11
3,Pará,054055,Zona Bragantina,543,BRAGANÇA,19,Urumajó,False,11
3,Pará,054055,Zona Bragantina,544,CAPANEMA,1,Capanema,False,11
3,Pará,054055,Zona Bragantina,544,CAPANEMA,3,Mirasselvas,False,11
3,Pará,054055,Zona Bragantina,544,CAPANEMA,5,Primavera,False,11
3,Pará,054055,Zona Bragantina,544,CAPANEMA,7,Quatipuru,False,11
3,Pará,054055,Zona Bragantina,544,CAPANEMA,9,Tauari,False,11
3,Pará,054055,Zona Bragantina,545,CASTANHAL,1,Castanhal,False,12
3,Pará,054055,Zona Bragantina,545,CASTANHAL,3,Apeú,False,12
3,Pará,054055,Zona Bragantina,546,IGARAPÉ-AÇU,1,Igarapé-Açu,False,12
3,Pará,054055,Zona Bragantina,546,IGARAPÉ-AÇU,3,Caripi,False,12
3,Pará,054055,Zona Bragantina,547,INHANGAPI,1,Inhangapi,False,12
3,Pará,054055,Zona Bragantina,549,NOVA TIMBOTEUA,1,Nova Timboteua,False,12
3,Pará,054055,Zona Bragantina,549,NOVA TIMBOTEUA,3,Peixe-Boi,False,12
3,Pará,054055,Zona Bragantina,549,NOVA TIMBOTEUA,5,Timboteua,False,12
3,Pará,054055,Zona Bragantina,548,SANTA ISABEL DO PARÁ,1,Santa Isabel do Pará,False,12
3,Pará,054055,Zona Bragantina,548,SANTA ISABEL DO PARÁ,3,Americano,False,12
3,Pará,054055,Zona Bragantina,548,SANTA ISABEL DO PARÁ,5,Caraparu,False,12
3,Pará,056057,Zona Guajarina,560,ABAETETUBA,1,Abaetetuba,False,12
3,Pará,056057,Zona Guajarina,560,ABAETETUBA,3,Bejá,False,12
3,Pará,056057,Zona Guajarina,561,ACARÁ,1,Acará,False,12
3,Pará,056057,Zona Guajarina,561,ACARÁ,3,Guajará-Miri,False,12
3,Pará,056057,Zona Guajarina,561,ACARÁ,5,Jupariteua,False,12
3,Pará,056057,Zona Guajarina,562,BARCARENA,1,Barcarena,False,12
3,Pará,056057,Zona Guajarina,562,BARCARENA,3,Murucupi,False,12
3,Pará,056057,Zona Guajarina,563,BUJARU,1,Bujaru,False,12
3,Pará,056057,Zona Guajarina,563,BUJARU,3,Guajará-Açu,False,12
3,Pará,056057,Zona Guajarina,564,CAPIM,1,Capim,False,12
3,Pará,056057,Zona Guajarina,565,GUAMÁ,1,Guamá,False,13
3,Pará,056057,Zona Guajarina,565,GUAMÁ,3,Bonito,False,13
3,Pará,056057,Zona Guajarina,565,GUAMÁ,5,Caju,False,13
3,Pará,056057,Zona Guajarina,565,GUAMÁ,7,Urucuri,False,13
3,Pará,056057,Zona Guajarina,565,GUAMÁ,9,Urucuriteua,False,13
3,Pará,056057,Zona Guajarina,566,IGARAPÉ-MIRI,1,Igarapé-Miri,False,13
3,Pará,056057,Zona Guajarina,566,IGARAPÉ-MIRI,3,Maiauatá,False,13
3,Pará,056057,Zona Guajarina,568,IRITUIA,1,Irituia,False,13
3,Pará,056057,Zona Guajarina,569,MOJU,1,Moju,False,13
3,Pará,056057,Zona Guajarina,569,MOJU,3,Cairari,False,13
3,Pará,056057,Zona Guajarina,570,OURÉM,1,Ourém,False,13
3,Pará,056057,Zona Guajarina,570,OURÉM,3,Tentugal,False,13
3,Pará,056057,Zona Guajarina,567,TOMÉ-AÇU,1,Tomé-Açu,False,13
3,Pará,052,Zona Tocantina,520,BAIÃO,1,Baião,False,13
3,Pará,052,Zona Tocantina,520,BAIÃO,3,Joana Peres,False,13
3,Pará,052,Zona Tocantina,521,CAMETÁ,1,Cametá,False,13
3,Pará,052,Zona Tocantina,521,CAMETÁ,3,Carapajó,False,13
3,Pará,052,Zona Tocantina,521,CAMETÁ,5,Curuçambaba,False,13
3,Pará,052,Zona Tocantina,521,CAMETÁ,7,Joana Coeli,False,13
3,Pará,052,Zona Tocantina,521,CAMETÁ,9,Juaba,False,13
3,Pará,052,Zona Tocantina,521,CAMETÁ,11,Moiraba,False,13
3,Pará,052,Zona Tocantina,522,MOCAJUBA,1,Mocajuba,False,13
3,Pará,052,Zona Tocantina,522,MOCAJUBA,3,São Pedro de Viseu,False,13
3,Pará,052,Zona Tocantina,523,TUCURUÍ,1,Tucuruí,False,14
3,Pará,052,Zona Tocantina,523,TUCURUÍ,3,Remansão,False,14
3,Pará,053,Zona do Jacundá - Pacajá,530,ARATICU,1,Araticu,False,14
3,Pará,053,Zona do Jacundá - Pacajá,530,ARATICU,3,Bagre,False,14
3,Pará,053,Zona do Jacundá - Pacajá,531,PORTEL,1,Portel,False,14
