dataset,coluna,tipo_atual,tipo_alvo,n,nonnum,frac,lz,mn,mx
1970_households,numb_families,int32,int32,4741386,0,0,0,1,3
1970_households,numb_dwellers_hhincome,int32,int32,4741386,0,0,0,1,37
1970_households,hh_income,int32,int32,4741386,0,0,0,0,41996
1970_households,hh_income_per_cap,double,double,4741386,0,2074456,0,0,9998
1970_population,code_region,int32,int32,24793358,0,0,0,1,5
1970_population,name_region,string,string,24793358,24793358,0,0,,
1970_population,code_state,int32,int32,24793358,0,0,0,11,53
1970_population,abbrev_state,string,string,24793358,24793358,0,0,,
1970_population,name_state,string,string,24793358,24793358,0,0,,
1970_population,code_muni,int32,int32,24793358,0,0,0,1100106,5300108
1970_population,code_muni_1970,int32,int32,24793358,0,0,0,101101,3600000
1970_population,abbrev_state_1970,string,string,24793358,24793358,0,0,,
1970_population,name_state_1970,string,string,24793358,24793358,0,0,,
1970_population,V001,int32,int32,24793358,0,0,0,1,941
1970_population,V002,int32,int32,24793358,0,0,0,1,929
1970_population,V003,int32,int32,24793358,0,0,0,1,55
1970_population,V004,int32,int32,24793358,0,0,0,0,2
1970_population,V005,int32,int32,24793358,0,0,0,1,30
1970_population,V006,int32,int32,24793358,0,0,0,0,4
1970_population,V007,int32,int32,23631294,0,0,0,0,1
1970_population,V008,int32,int32,23516969,0,0,0,0,2
1970_population,V009,int32,int32,23502757,0,0,0,0,5
1970_population,V010,int32,int32,23502757,0,0,0,0,9
1970_population,V011,int32,int32,23502757,0,0,0,0,6
1970_population,V012,int32,int32,23502757,0,0,0,0,5
1970_population,V013,int32,int32,23502757,0,0,0,0,5
1970_population,V014,int32,int32,23502757,0,0,0,0,2
1970_population,V015,int32,int32,23502757,0,0,0,0,6
1970_population,V016,int32,int32,23502757,0,0,0,0,2
1970_population,V017,int32,int32,23502757,0,0,0,0,2
1970_population,V018,int32,int32,23502757,0,0,0,0,2
1970_population,V019,int32,int32,23502757,0,0,0,0,2
1970_population,V020,int32,int32,23502757,0,0,0,0,30
1970_population,V021,int32,int32,23506170,0,0,0,0,19
1970_population,V022,int32,int32,24793358,0,0,0,0,1
1970_population,V023,int32,int32,24793358,0,0,0,0,1
1970_population,V024,int32,int32,24793358,0,0,0,0,2
1970_population,V025,int32,int32,24793358,0,0,0,0,9
1970_population,V026,int32,int32,24793358,0,0,0,0,4
1970_population,V027,int32,int32,24793358,0,0,0,0,99
1970_population,V028,int32,int32,24793358,0,0,0,0,5
1970_population,V029,int32,int32,24793358,0,0,0,0,2
1970_population,V030,int32,int32,24793358,0,0,0,1,99
1970_population,V031,int32,int32,7946820,0,0,0,0,9
1970_population,V032,int32,int32,7946820,0,0,0,0,9
1970_population,V033,int32,int32,7946820,0,0,0,0,99
1970_population,V034,int32,int32,7946820,0,0,0,0,9
1970_population,V035,int32,int32,21121755,0,0,0,0,2
1970_population,V036,int32,int32,21121755,0,0,0,0,2
1970_population,V037,int32,int32,21121755,0,0,0,0,9
1970_population,V038,int32,int32,21121755,0,0,0,0,5
1970_population,V039,int32,int32,17599214,0,0,0,0,99
1970_population,V040,int32,int32,17599214,0,0,0,0,9
1970_population,V041,int32,int32,17599214,0,0,0,0,9999
1970_population,V042,int32,int32,17599214,0,0,0,0,4
1970_population,V043,int32,int32,17599214,0,0,0,0,7
1970_population,V044,int32,int32,7940686,0,0,0,11,925
1970_population,V045,int32,int32,7940686,0,0,0,111,934
1970_population,V046,int32,int32,7940686,0,0,0,0,6
1970_population,V047,int32,int32,7940686,0,0,0,0,5
1970_population,V048,int32,int32,7940686,0,0,0,0,9
1970_population,V049,int32,int32,7940686,0,0,0,0,3
1970_population,V050,int32,int32,7340893,0,0,0,0,99
1970_population,V051,int32,int32,7340893,0,0,0,0,9
1970_population,V052,int32,int32,7340893,0,0,0,0,9
1970_population,V053,int32,int32,7340893,0,0,0,0,99
1970_population,V054,int32,int32,24793358,0,0,0,0,96
1970_population,id_person,int32,int32,24793358,0,0,0,1,24793358
1970_population,id_household,double,double,24339715,0,0,0,1010,5102425032
1980_households,code_region,int32,int32,6716885,0,0,0,1,5
1980_households,name_region,string,string,6716885,6716885,0,0,,
1980_households,code_state,int32,int32,6716885,0,0,0,11,53
1980_households,abbrev_state,string,string,6716885,6716885,0,0,,
1980_households,name_state,string,string,6716885,6716885,0,0,,
1980_households,code_meso,int32,int32,6716885,0,0,0,1,89
1980_households,code_micro,int32,int32,6716885,0,0,0,1,361
1980_households,code_muni,int32,int32,6716885,0,0,0,1100023,5300108
1980_households,code_muni_1980,int32,int32,6716885,0,0,0,110002,530010
1980_households,V198,int32,int32,6716885,0,0,0,1,7
1980_households,V2,int32,int32,6716885,0,0,0,11,53
1980_households,V201,int32,int32,6716885,0,0,0,1,7
1980_households,V202,int32,int32,6483541,0,0,0,1,3
1980_households,V203,int32,int32,6483541,0,0,0,0,9
1980_households,V204,int32,int32,6483541,0,0,0,0,9
1980_households,V205,int32,int32,6483541,0,0,0,0,9
1980_households,V206,int32,int32,6483541,0,0,0,0,9
1980_households,V207,int32,int32,6483541,0,0,0,0,9
1980_households,V208,int32,int32,6483541,0,0,0,1,9
1980_households,V209,int32,int32,6483541,0,0,0,0,9
1980_households,V211,int32,int32,6483541,0,0,0,100,399
1980_households,V212,int32,int32,6483541,0,0,0,1,99
1980_households,V213,int32,int32,6483541,0,0,0,1,99
1980_households,V214,int32,int32,6483541,0,0,0,1,9
1980_households,V215,int32,int32,6483541,0,0,0,1,9
1980_households,V216,int32,int32,6483541,0,0,0,1,9
1980_households,V217,int32,int32,6483541,0,0,0,2,9
1980_households,V218,int32,int32,6483541,0,0,0,1,9
1980_households,V219,int32,int32,6483541,0,0,0,1,9
1980_households,V220,int32,int32,6483541,0,0,0,1,9
1980_households,V221,int32,int32,6483541,0,0,0,1,9
1980_households,V3,int32,int32,6716885,0,0,0,1,89
1980_households,V4,int32,int32,6716885,0,0,0,1,361
1980_households,V5,int32,int32,6716885,0,0,0,2,7220
1980_households,V6,int32,int32,6716885,0,0,0,5,90
1980_households,V601,int32,int32,6716885,0,0,0,0,6886882
1980_households,V602,int32,int32,6483541,0,0,0,0,999999
1980_households,V603,int32,int32,6716885,0,0,0,0,21
1980_population,code_region,int32,int32,29378753,0,0,0,1,5
1980_population,name_region,string,string,29378753,29378753,0,0,,
1980_population,code_state,int32,int32,29378753,0,0,0,11,53
1980_population,abbrev_state,string,string,29378753,29378753,0,0,,
1980_population,name_state,string,string,29378753,29378753,0,0,,
1980_population,code_meso,int32,int32,29378753,0,0,0,1,89
1980_population,code_micro,int32,int32,29378753,0,0,0,1,361
1980_population,code_muni,int32,int32,29378753,0,0,0,1100023,5300108
1980_population,code_muni_1980,int32,int32,29378753,0,0,0,110002,530010
1980_population,V198,int32,int32,29378753,0,0,0,1,7
1980_population,V2,int32,int32,29378753,0,0,0,11,53
1980_population,V201,int32,int32,29378753,0,0,0,1,7
1980_population,V202,int32,int32,29026948,0,0,0,1,3
1980_population,V203,int32,int32,29026948,0,0,0,0,9
1980_population,V204,int32,int32,29026948,0,0,0,0,9
1980_population,V205,int32,int32,29026948,0,0,0,0,9
1980_population,V206,int32,int32,29026948,0,0,0,0,9
1980_population,V207,int32,int32,29026948,0,0,0,0,9
1980_population,V208,int32,int32,29026948,0,0,0,1,9
1980_population,V209,int32,int32,29026948,0,0,0,0,9
1980_population,V211,int32,int32,29026948,0,0,0,100,399
1980_population,V212,int32,int32,29026948,0,0,0,1,99
1980_population,V213,int32,int32,29026948,0,0,0,1,99
1980_population,V214,int32,int32,29026948,0,0,0,1,9
1980_population,V215,int32,int32,29026948,0,0,0,1,9
1980_population,V216,int32,int32,29026948,0,0,0,1,9
1980_population,V217,int32,int32,29026948,0,0,0,2,9
1980_population,V218,int32,int32,29026948,0,0,0,1,9
1980_population,V219,int32,int32,29026948,0,0,0,1,9
1980_population,V220,int32,int32,29026948,0,0,0,1,9
1980_population,V221,int32,int32,29026948,0,0,0,1,9
1980_population,V3,int32,int32,29378753,0,0,0,1,89
1980_population,V4,int32,int32,29378753,0,0,0,1,361
1980_population,V5,int32,int32,29378753,0,0,0,2,7220
1980_population,V501,int32,int32,29378753,0,0,0,1,3
1980_population,V503,int32,int32,29378753,0,0,0,0,9
1980_population,V504,int32,int32,29378753,0,0,0,0,9
1980_population,V505,int32,int32,29378753,0,0,0,0,5
1980_population,V508,int32,int32,29378753,0,0,0,0,9
1980_population,V509,int32,int32,29378753,0,0,0,2,9
1980_population,V510,int32,int32,29378753,0,0,0,1,9
1980_population,V511,int32,int32,29378753,0,0,0,2,6
1980_population,V512,int32,int32,29378753,0,0,0,1,99
1980_population,V513,int32,int32,29378753,0,0,0,1,8
1980_population,V514,int32,int32,29378753,0,0,0,2,9
1980_population,V515,int32,int32,29378753,0,0,0,1,9
1980_population,V516,int32,int32,29378753,0,0,0,0,9
1980_population,V517,int32,int32,29378753,0,0,0,0,9
1980_population,V518,int32,int32,12267617,0,0,0,0,990000
1980_population,V519,int32,int32,25294665,0,0,0,2,9
1980_population,V520,int32,int32,29378753,0,0,0,0,9
1980_population,V521,int32,int32,29378753,0,0,0,0,8
1980_population,V522,int32,int32,29378753,0,0,0,0,8
1980_population,V523,int32,int32,29378753,0,0,0,0,9
1980_population,V524,int32,int32,29378753,0,0,0,0,8
1980_population,V525,int32,int32,21762082,0,0,0,0,99
1980_population,V526,int32,int32,21762082,0,0,0,0,9
1980_population,V527,int32,int32,21762082,0,0,0,0,990000
1980_population,V528,int32,int32,21762082,0,0,0,1,5
1980_population,V529,int32,int32,21762082,0,0,0,0,9
1980_population,V530,int32,int32,10500850,0,0,0,1,927
